diferencia,dq,indice,md,paridad,pq,precio,qp,ticker,tir,ttir,uptir,volumen,vt
↑0.91%,43,Badlar,0.19,98.1%,31.8,116.25,27%,BDC24,214.6%,99.0%,14.8%,3.1,118.5
↓-1.52%,63,Badlar,0.24,104.2%,33.3,117.00,28%,TB24,172.9%,99.0%,11.6%,0.0,112.3
↑1.27%,92,Badlar,0.24,90.9%,34.3,92.55,37%,PBY24,303.6%,99.0%,34.8%,6.4,101.9
↓-0.10%,57,Badlar,0.38,84.4%,32.8,96.40,34%,PBA25,295.6%,99.0%,66.8%,22.5,114.3
↓-0.37%,153,Fijo,1.00,21.1%,7.8,21.42,36%,TO26,144.0%,99.0%,45.1%,4.2,101.5
↑0.32%,6,Badlar,0.46,95.8%,30.3,124.50,24%,BDC28,234.3%,99.0%,63.2%,1.9,129.9
↑0.91%,43,Badlar,0.19,98.1%,31.8,116.25,27%,BDC24,214.6%,99.0%,14.8%,3.1,118.5
↓-1.52%,63,Badlar,0.24,104.2%,33.3,117.00,28%,TB24,172.9%,99.0%,11.6%,0.0,112.3
↑1.27%,92,Badlar,0.24,90.9%,34.3,92.55,37%,PBY24,303.6%,99.0%,34.8%,6.4,101.9
↓-0.10%,57,Badlar,0.38,84.4%,32.8,96.40,34%,PBA25,295.6%,99.0%,66.8%,22.5,114.3
↓-0.37%,153,Fijo,1.00,21.1%,7.8,21.42,36%,TO26,144.0%,99.0%,45.1%,4.2,101.5
↑0.32%,6,Badlar,0.46,95.8%,30.3,124.50,24%,BDC28,234.3%,99.0%,63.2%,1.9,129.9
↑6.01%,29,CER,0.22,115.2%,0.8,547.00,0%,PR13,-48.3%,-1.3%,-12.6%,3.0,475.0
↑1.15%,130,CER,0.34,99.6%,5.7,758.70,1%,TX24,2.8%,-0.5%,1.1%,427.2,762.0
↑1.07%,151,CER,0.39,100.2%,3.5,189.75,2%,T3X4,3.2%,-0.2%,1.4%,252.6,189.4
↑1.07%,71,CER,0.66,98.9%,4.4,569.00,1%,T2X4,3.3%,0.7%,1.7%,95.3,575.6
↑1.50%,151,CER,0.86,98.1%,3.8,185.75,2%,T4X4,6.4%,1.2%,4.5%,497.6,189.4
↑2.00%,90,CER,1.15,95.0%,4.0,181.20,2%,T2X5,8.9%,1.8%,8.4%,255.1,190.8
↑1.54%,165,CER,1.32,89.6%,33.8,1519.00,2%,TC25P,12.5%,2.0%,14.7%,0.1,1695.2
