id,diferencia,dq,indice,md,paridad,pq,precio,qp,ticker,tir,ttir,uptir,volumen,vt
0,0.0091,43,Badlar,0.19,0.981,31.8,116.25,0.27,BDC24,214.6%,0.99,0.14800000000000002,3.1,118.5
1,-0.0152,63,Badlar,0.24,1.042,33.3,117.0,0.28,TB24,172.9%,0.99,0.11599999999999999,0.0,112.3
2,0.0127,92,Badlar,0.24,0.909,34.3,92.55,0.37,PBY24,303.6%,0.99,0.348,6.4,101.9
3,-0.001,57,Badlar,0.38,0.8440000000000001,32.8,96.4,0.34,PBA25,295.6%,0.99,0.6679999999999999,22.5,114.3
4,-0.0037,153,Fijo,1.0,0.21100000000000002,7.8,21.42,0.36,TO26,144.0%,0.99,0.451,4.2,101.5
5,0.0032,6,Badlar,0.46,0.958,30.3,124.5,0.24,BDC28,234.3%,0.99,0.632,1.9,129.9
6,0.0091,43,Badlar,0.19,0.981,31.8,116.25,0.27,BDC24,214.6%,0.99,0.14800000000000002,3.1,118.5
7,-0.0152,63,Badlar,0.24,1.042,33.3,117.0,0.28,TB24,172.9%,0.99,0.11599999999999999,0.0,112.3
8,0.0127,92,Badlar,0.24,0.909,34.3,92.55,0.37,PBY24,303.6%,0.99,0.348,6.4,101.9
9,-0.001,57,Badlar,0.38,0.8440000000000001,32.8,96.4,0.34,PBA25,295.6%,0.99,0.6679999999999999,22.5,114.3
10,-0.0037,153,Fijo,1.0,0.21100000000000002,7.8,21.42,0.36,TO26,144.0%,0.99,0.451,4.2,101.5
11,0.0032,6,Badlar,0.46,0.958,30.3,124.5,0.24,BDC28,234.3%,0.99,0.632,1.9,129.9
12,0.0601,29,CER,0.22,1.1520000000000001,0.8,547.0,0.0,PR13,-48.3%,-0.013000000000000001,-0.126,3.0,475.0
13,0.0115,130,CER,0.34,0.996,5.7,758.7,0.01,TX24,2.8%,-0.005,0.011000000000000001,427.2,762.0
14,0.010700000000000001,151,CER,0.39,1.002,3.5,189.75,0.02,T3X4,3.2%,-0.002,0.013999999999999999,252.6,189.4
15,0.010700000000000001,71,CER,0.66,0.9890000000000001,4.4,569.0,0.01,T2X4,3.3%,0.006999999999999999,0.017,95.3,575.6
16,0.015,151,CER,0.86,0.981,3.8,185.75,0.02,T4X4,6.4%,0.012,0.045,497.6,189.4
17,0.02,90,CER,1.15,0.95,4.0,181.2,0.02,T2X5,8.9%,0.018000000000000002,0.084,255.1,190.8
18,0.0154,165,CER,1.32,0.8959999999999999,33.8,1519.0,0.02,TC25P,12.5%,0.02,0.147,0.1,1695.2
19,0.049800000000000004,175,CER,1.83,0.889,6.8,604.7,0.01,TX26,8.4%,0.026000000000000002,0.11199999999999999,71.0,680.1
20,0.0601,175,CER,2.39,0.853,7.6,580.0,0.01,TX28,8.8%,0.031,0.147,9.0,680.1
21,0.0583,47,CER,3.75,0.797,389.8,10901.0,0.04,DIP0,11.8%,0.039,0.364,0.0,13676.7
22,0.0178,47,CER,3.87,0.8370000000000001,389.8,11450.0,0.03,DICP,10.4%,0.04,0.29600000000000004,0.2,13676.7
23,0.0023,137,CER,7.95,0.446,93.2,4711.0,0.02,PAP0,11.7%,0.053,0.674,0.0,10555.6
24,0.0176,137,CER,8.08,0.47700000000000004,93.2,5037.0,0.02,PARP,10.8%,0.054000000000000006,0.562,0.0,10555.6
25,0.016,47,CER,10.07,0.479,242.0,7099.0,0.03,CUAP,9.9%,0.057999999999999996,0.5539999999999999,0.1,14810.3
26,0.0601,29,CER,0.22,1.1520000000000001,0.8,547.0,0.0,PR13,-48.3%,-0.013000000000000001,-0.126,3.0,475.0
27,0.0115,130,CER,0.34,0.996,5.7,758.7,0.01,TX24,2.8%,-0.005,0.011000000000000001,427.2,762.0
28,0.010700000000000001,151,CER,0.39,1.002,3.5,189.75,0.02,T3X4,3.2%,-0.002,0.013999999999999999,252.6,189.4
29,0.010700000000000001,71,CER,0.66,0.9890000000000001,4.4,569.0,0.01,T2X4,3.3%,0.006999999999999999,0.017,95.3,575.6
30,0.015,151,CER,0.86,0.981,3.8,185.75,0.02,T4X4,6.4%,0.012,0.045,497.6,189.4
