ticker,Indice,Precio,Dif,TIR,MD,Vol(M),Paridad,VT,tTIR,UpTIR,dQ,pQ,Q/P,Unnamed: 14
AL30C,USS,48hs,25.9,=0.00%,58.4%,1.85,0.2,25.8%,100.3,9.4%,190.9%,57,0.4,1%
AL29C,USS,48hs,27.25,=0.00%,59.1%,1.88,0.0,27.2%,100.3,9.4%,184.2%,57,0.5,2%
AE38C,USS,48hs,28.6,=0.00%,31.3%,3.83,0.0,28.2%,101.5,10.2%,155.5%,57,2.1,7%
AL35C,USS,48hs,25.5,=0.00%,28.8%,4.73,0.0,25.2%,101.3,10.5%,163.9%,57,1.8,7%
AL41C,USS,48hs,32.5,↑17.12%,21.7%,5.34,0.0,32.1%,101.2,10.6%,89.7%,57,1.8,5%
GD29C,USS,48hs,26.75,=0.00%,60.4%,1.86,0.0,26.7%,100.3,9.4%,189.6%,57,0.5,2%
GD30C,USS,48hs,31.0,↑3.33%,47.3%,2.07,0.0,30.9%,100.3,9.5%,142.0%,57,0.4,1%
GD46C,USS,48hs,29.15,↑7.61%,28.7%,3.57,0.0,28.8%,101.3,10.2%,131.0%,57,1.8,6%
GD38C,USS,48hs,34.5,↑5.95%,26.1%,4.27,0.0,34.0%,101.5,10.4%,110.2%,57,2.1,6%
GD35C,USS,48hs,27.0,=0.00%,27.5%,4.87,0.0,26.7%,101.3,10.5%,148.6%,57,1.8,7%
GD41C,USS,48hs,29.0,=0.00%,24.1%,5.02,0.0,28.6%,101.2,10.6%,113.7%,57,1.8,6%
