diferencia,dq,indice,md,paridad,pq,precio,qp,ticker,tir,ttir,uptir,volumen,vt
,43,Badlar,0.19,97.2%,31.8,115.20,28%,BDC24,224.3%,99.0%,15.8%,0.0,118.5
,63,Badlar,0.25,105.8%,33.3,118.80,28%,TB24,161.2%,99.0%,10.0%,0.0,112.3
,92,Badlar,0.23,89.7%,34.3,91.39,37%,PBY24,315.9%,99.0%,36.5%,0.0,101.9
,57,Badlar,0.38,84.5%,32.8,96.50,34%,PBA25,295.0%,99.0%,66.6%,0.0,114.3
,153,Fijo,1.00,21.2%,7.8,21.50,36%,TO26,143.5%,99.0%,44.6%,0.0,101.5
,6,Badlar,0.46,95.5%,30.3,124.10,24%,BDC28,235.7%,99.0%,63.7%,0.0,129.9
,43,Badlar,0.19,97.2%,31.8,115.20,28%,BDC24,224.3%,99.0%,15.8%,0.0,118.5
,63,Badlar,0.25,105.8%,33.3,118.80,28%,TB24,161.2%,99.0%,10.0%,0.0,112.3
,92,Badlar,0.23,89.7%,34.3,91.39,37%,PBY24,315.9%,99.0%,36.5%,0.0,101.9
,57,Badlar,0.38,84.5%,32.8,96.50,34%,PBA25,295.0%,99.0%,66.6%,0.0,114.3
,153,Fijo,1.00,21.2%,7.8,21.50,36%,TO26,143.5%,99.0%,44.6%,0.0,101.5
,6,Badlar,0.46,95.5%,30.3,124.10,24%,BDC28,235.7%,99.0%,63.7%,0.0,129.9
,29,CER,0.21,108.6%,0.8,516.00,0%,PR13,-31.7%,-1.4%,-7.3%,0.0,475.0
,130,CER,0.33,98.4%,5.7,750.10,1%,TX24,6.3%,-0.5%,2.3%,0.0,762.0
,151,CER,0.39,99.2%,3.5,187.75,2%,T3X4,6.0%,-0.3%,2.5%,0.0,189.4
,71,CER,0.66,97.8%,4.4,563.00,1%,T2X4,4.9%,0.7%,2.8%,0.0,575.6
,151,CER,0.85,96.6%,3.8,183.00,2%,T4X4,8.2%,1.2%,6.1%,0.0,189.4
,90,CER,1.14,93.1%,4.0,177.65,2%,T2X5,10.7%,1.7%,10.6%,0.0,190.8
,165,CER,1.31,88.3%,33.8,1496.00,2%,TC25P,13.7%,2.0%,16.5%,0.0,1695.2
,175,CER,1.79,84.7%,6.8,576.00,1%,TX26,11.3%,2.6%,16.8%,0.0,680.1
,175,CER,2.32,80.4%,7.6,547.10,1%,TX28,11.4%,3.1%,21.8%,0.0,680.1
,47,CER,3.62,75.3%,389.8,10300.00,4%,DIP0,13.4%,3.9%,44.8%,0.0,13676.7
,47,CER,3.83,82.3%,389.8,11250.00,3%,DICP,10.9%,4.0%,32.0%,0.0,13676.7
,137,CER,7.95,44.5%,93.2,4700.00,2%,PAP0,11.7%,5.3%,67.8%,0.0,10555.6
,137,CER,8.05,46.9%,93.2,4950.00,2%,PARP,11.0%,5.4%,59.0%,0.0,10555.6
,47,CER,10.00,47.2%,242.0,6987.00,3%,CUAP,10.1%,5.8%,58.1%,0.0,14810.3
,29,CER,0.21,108.6%,0.8,516.00,0%,PR13,-31.7%,-1.4%,-7.3%,0.0,475.0
,130,CER,0.33,98.4%,5.7,750.10,1%,TX24,6.3%,-0.5%,2.3%,0.0,762.0
,151,CER,0.39,99.2%,3.5,187.75,2%,T3X4,6.0%,-0.3%,2.5%,0.0,189.4
,71,CER,0.66,97.8%,4.4,563.00,1%,T2X4,4.9%,0.7%,2.8%,0.0,575.6
,151,CER,0.85,96.6%,3.8,183.00,2%,T4X4,8.2%,1.2%,6.1%,0.0,189.4
,90,CER,1.14,93.1%,4.0,177.65,2%,T2X5,10.7%,1.7%,10.6%,0.0,190.8
,165,CER,1.31,88.3%,33.8,1496.00,2%,TC25P,13.7%,2.0%,16.5%,0.0,1695.2
,175,CER,1.79,84.7%,6.8,576.00,1%,TX26,11.3%,2.6%,16.8%,0.0,680.1
,175,CER,2.32,80.4%,7.6,547.10,1%,TX28,11.4%,3.1%,21.8%,0.0,680.1
,47,CER,3.62,75.3%,389.8,10300.00,4%,DIP0,13.4%,3.9%,44.8%,0.0,13676.7
,47,CER,3.83,82.3%,389.8,11250.00,3%,DICP,10.9%,4.0%,32.0%,0.0,13676.7
,137,CER,7.95,44.5%,93.2,4700.00,2%,PAP0,11.7%,5.3%,67.8%,0.0,10555.6
,137,CER,8.05,46.9%,93.2,4950.00,2%,PARP,11.0%,5.4%,59.0%,0.0,10555.6
,47,CER,10.00,47.2%,242.0,6987.00,3%,CUAP,10.1%,5.8%,58.1%,0.0,14810.3
,54,USS,1.81,25.8%,0.5,25.91,2%,AL29D,63.0%,9.3%,199.7%,0.0,100.4
,54,USS,1.85,26.4%,0.4,26.50,1%,AL30D,57.3%,9.4%,184.7%,0.0,100.3
,54,USS,3.71,27.1%,2.1,27.50,8%,AE38D,32.6%,10.2%,166.7%,0.0,101.6
,54,USS,4.58,24.8%,1.8,25.12,7%,AL41D,27.5%,10.5%,149.0%,0.0,101.3
,54,USS,4.74,25.6%,1.8,25.95,7%,AL35D,28.5%,10.5%,159.6%,0.0,101.3
,54,USS,1.95,29.5%,0.5,29.62,2%,GD29D,54.3%,9.4%,161.5%,0.0,100.4
,54,USS,2.02,30.2%,0.4,30.26,1%,GD30D,49.0%,9.5%,148.5%,0.0,100.3
,54,USS,3.32,26.8%,1.8,27.12,7%,GD46D,31.2%,10.1%,150.1%,0.0,101.3
,54,USS,4.26,34.1%,2.1,34.60,6%,GD38D,26.1%,10.4%,109.9%,0.0,101.6
,54,USS,4.96,27.9%,1.8,28.29,6%,GD35D,26.5%,10.5%,137.3%,0.0,101.3
,54,USS,5.03,29.0%,1.8,29.35,6%,GD41D,23.9%,10.6%,111.5%,0.0,101.3
,54,USS,1.81,25.8%,0.5,25.91,2%,AL29D,63.0%,9.3%,199.7%,0.0,100.4
,54,USS,1.85,26.4%,0.4,26.50,1%,AL30D,57.3%,9.4%,184.7%,0.0,100.3
,54,USS,3.71,27.1%,2.1,27.50,8%,AE38D,32.6%,10.2%,166.7%,0.0,101.6
,54,USS,4.58,24.8%,1.8,25.12,7%,AL41D,27.5%,10.5%,149.0%,0.0,101.3
,54,USS,4.74,25.6%,1.8,25.95,7%,AL35D,28.5%,10.5%,159.6%,0.0,101.3
,54,USS,1.95,29.5%,0.5,29.62,2%,GD29D,54.3%,9.4%,161.5%,0.0,100.4
,54,USS,2.02,30.2%,0.4,30.26,1%,GD30D,49.0%,9.5%,148.5%,0.0,100.3
,54,USS,3.32,26.8%,1.8,27.12,7%,GD46D,31.2%,10.1%,150.1%,0.0,101.3
